rank,num_procs,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,matrix
25,32,0,0.188912630,0.188795567,12929,10609,25858,Andrews
25,32,1,0.274012327,0.264064550,12929,10609,25858,Andrews
25,32,2,0.179712057,0.176052570,12929,10609,25858,Andrews
25,32,3,0.181998968,0.176102877,12929,10609,25858,Andrews
25,32,4,0.267993450,0.261039019,12929,10609,25858,Andrews
25,32,5,0.178994179,0.176010609,12929,10609,25858,Andrews
25,32,6,0.178995848,0.176037788,12929,10609,25858,Andrews
25,32,7,0.176996946,0.176013947,12929,10609,25858,Andrews
25,32,8,0.184993982,0.176064253,12929,10609,25858,Andrews
25,32,9,0.179996729,0.176075459,12929,10609,25858,Andrews
14,32,0,0.098523855,0.096005678,12670,10331,25340,Andrews
14,32,1,0.289995193,0.191004038,12670,10331,25340,Andrews
14,32,2,0.096138000,0.096024990,12670,10331,25340,Andrews
14,32,3,0.184009790,0.095025301,12670,10331,25340,Andrews
14,32,4,0.291986942,0.192002773,12670,10331,25340,Andrews
14,32,5,0.096148491,0.096033335,12670,10331,25340,Andrews
14,32,6,0.096121788,0.096002102,12670,10331,25340,Andrews
14,32,7,0.096146345,0.096027136,12670,10331,25340,Andrews
14,32,8,0.096136093,0.096011877,12670,10331,25340,Andrews
